gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,product,purchase
F,51,widowed,postgrad,2,full_time,13,11,148750,no,0,owner_morg,10,stocks,no
M,36,divorced,highsch,3,unemployed,0,7,0,no,0,owner,2,bonds,yes
M,43,divorced,highsch,2,part_time,11,10,28688,no,0,owner,14,bonds,yes
F,70,married,univ,0,self_employ,5,26,111563,yes,52192,owner_morg,13,stocks,no
M,25,single,univ,0,self_employ,3,6,63750,no,0,owner,2,stocks,yes
M,52,widowed,postgrad,1,full_time,17,26,148750,no,0,owner,10,derivatives,yes
F,39,divorced,basic,2,full_time,11,14,31875,no,0,tenant,1,derivatives,no
F,29,married,highsch,1,part_time,5,5,19125,yes,46379,owner,8,stocks,yes
F,28,divorced,univ,2,unemployed,0,4,0,no,0,owner_morg,7,bonds,yes
M,38,single,basic,0,self_employ,6,16,38250,no,0,tenant,10,stocks,no
F,39,single,highsch,0,part_time,1,9,28688,no,0,owner,8,stocks,no
F,31,married,highsch,0,part_time,1,5,28688,yes,52771,owner_morg,12,bonds,yes
F,26,married,highsch,2,full_time,1,6,31875,yes,40743,owner_morg,9,bonds,yes
M,25,single,highsch,0,full_time,3,4,31875,no,0,owner_morg,7,derivatives,yes
M,21,married,highsch,1,full_time,1,2,31875,yes,58997,owner_morg,5,stocks,yes
F,50,single,postgrad,0,full_time,9,10,148750,no,0,tenant,11,bonds,yes
M,26,divorced,highsch,0,unemployed,0,2,0,no,0,tenant,4,bonds,no
M,48,divorced,univ,3,unemployed,0,4,0,no,0,owner,2,derivatives,yes
F,33,widowed,highsch,2,full_time,3,9,47813,no,0,owner,3,bonds,yes
F,42,married,univ,2,full_time,10,9,79688,yes,42883,tenant,3,stocks,no
F,25,single,basic,0,full_time,4,5,21250,no,0,tenant,9,derivatives,no
M,44,widowed,highsch,3,part_time,6,20,28688,no,0,tenant,2,stocks,no
M,29,divorced,univ,3,unemployed,0,6,0,no,0,tenant,4,stocks,no
F,21,single,basic,0,full_time,2,2,21250,no,0,w_parents,3,stocks,yes
F,52,divorced,highsch,2,self_employ,5,14,66938,no,0,tenant,7,derivatives,no
M,65,divorced,univ,1,full_time,1,30,92969,no,0,tenant,1,stocks,no
F,31,divorced,highsch,1,part_time,0,1,28688,no,0,tenant,15,stocks,no
F,33,divorced,postgrad,1,full_time,2,2,127500,no,0,owner_morg,4,bonds,yes
F,39,single,highsch,0,unemployed,0,15,0,no,0,owner,5,stocks,no
F,34,single,basic,0,part_time,6,6,19125,no,0,tenant,6,bonds,yes
M,53,divorced,univ,0,part_time,16,19,55781,no,0,tenant,14,derivatives,yes
M,59,single,highsch,0,full_time,5,21,55781,no,0,tenant,13,bonds,no
F,48,divorced,highsch,0,part_time,6,20,28688,no,0,tenant,15,bonds,yes
M,28,married,highsch,0,part_time,3,5,19125,yes,34578,tenant,4,bonds,no
